Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 и имятсюлеч имыньлис с ,еикьнелам; имыртсо ;маленькие, с сильными челюстями и ; острыми ; ; зубами.;Уильям Линк. Аквариум // «Парадокс», 2004.05.01;Уильям Линк;;Аквариум;2004;нехудожественная, публицистика;эссе;частная жизнь;«Парадокс»;2004.05.01;журнал;омонимия не снята;Почти все рыбки были маленькие, с сильными челюстями и острыми зубами. [Уильям Линк. Аквариум // «Парадокс», 2004.05.01] [омонимия не снята]
 еикат хин У; еыртсо ;У них такие ; острые ; ; зубы…;Уильям Линк. Аквариум // «Парадокс», 2004.05.01;Уильям Линк;;Аквариум;2004;нехудожественная, публицистика;эссе;частная жизнь;«Парадокс»;2004.05.01;журнал;омонимия не снята;У них такие острые зубы… [Уильям Линк. Аквариум // «Парадокс», 2004.05.01] [омонимия не снята]
 ьтазербо одан икле ловтс оньлетиравдерП; мыртсо ;Предварительно ствол елки надо обрезать ; острым ; ; ножом, чтобы открыть свежие поры.;Елка ― не палка, требует ухода // «Амурский Меридиан» (Хабаровск), 2004.12.22;;;Елка ― не палка, требует ухода;2004;нехудожественная, публицистика;заметка;дом и домашнее хозяйство;«Амурский Меридиан» (Хабаровск);2004.12.22;газета;омонимия не снята;Предварительно ствол елки надо обрезать острым ножом, чтобы открыть свежие поры. [Елка ― не палка, требует ухода // «Амурский Меридиан» (Хабаровск), 2004.12.22] [омонимия не снята]
.ексим йошьлобен в консеч и; мыртсО ;и чеснок в небольшой миске.; Острым ; ; ножом надрежьте в нескольких местах;Имбирь + лайм + кориандр // «Homes & Gardens», 2004.04.16;;;Имбирь + лайм + кориандр;2004;нехудожественная, публицистика;рецепт;дом и домашнее хозяйство;«Homes & Gardens»;2004.04.16;журнал;омонимия не снята;и чеснок в небольшой миске. Острым ножом надрежьте в нескольких местах филе говядины, чтобы кусок мог пропитаться маринадом. [Имбирь + лайм + кориандр // «Homes & Gardens», 2004.04.16] [омонимия не снята]
 илазерзар асям огоннялавбо аколб то; мыртсо ;от блока обвалянного мяса разрезали ; острым ; ; ножом вдоль, выравнивали края.;Производство полуфабрикатов из частично размороженного мяса птицы // «Мясная индустрия», 2004.03.29;;;Производство полуфабрикатов из частично размороженного мяса птицы;2004;нехудожественная, учебно-научная;статья;легкая и пищевая промышленность, наука и технологии, производство;«Мясная индустрия»;2004.03.29;журнал;омонимия не снята;Филейные части от блока обвалянного мяса разрезали острым ножом вдоль, выравнивали края. [Производство полуфабрикатов из частично размороженного мяса птицы // «Мясная индустрия», 2004.03.29] [омонимия не снята]
 тен :овтсечеволеч ьсолавивзар и ,онневтсбос; хыртсо ;собственно, и развивалось человечество: нет ; острых ; ;" зубов ― возьмем острый камень;";Слово о «высокой ноге» // «Боевое искусство планеты», 2004.03.11;;;Слово о «высокой ноге»;2004;нехудожественная, публицистика;статья;спорт;«Боевое искусство планеты»;2004.03.11;журнал;омонимия не снята;"Таким образом, собственно, и развивалось человечество: нет острых зубов ― возьмем острый камень; нет длинных рук ― приспособим длинную палку. [Слово о «высокой ноге» // «Боевое искусство планеты», 2004.03.11] [омонимия не снята]"
.ьлодв ыниволоп евд ан етьжерзар; мыртсО ;разрежьте на две половины вдоль.; Острым ; ; ножом сделайте несколько надрезов в;Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003;Анатолий Найман, Галина Наринская;1936;Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов;2003;нехудожественная, публицистика;эссе;дом и домашнее хозяйство;«Октябрь»;2003;журнал;омонимия не снята;разрежьте на две половины вдоль. Острым ножом сделайте несколько надрезов в середине и положите в соленую воду на час. [Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003] [омонимия не снята]
 онбоду олыб ыботч ,итсач еикат; мыртсо ;такие части, чтобы было удобно ; острым ; ; ножом удалить середину.;Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003;Анатолий Найман, Галина Наринская;1936;Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов;2003;нехудожественная, публицистика;эссе;дом и домашнее хозяйство;«Октябрь»;2003;журнал;омонимия не снята;Очистите длинную ровную морковку, разрежьте ее на такие части, чтобы было удобно острым ножом удалить середину. [Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003] [омонимия не снята]
 вунктов ,аретсбол ьтибУ; еортсо ;Убить лобстера, воткнув ; острое ; ; лезвие между туловищем и панцирем;Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003;Анатолий Найман, Галина Наринская;1936;Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов;2003;нехудожественная, публицистика;эссе;дом и домашнее хозяйство;«Октябрь»;2003;журнал;омонимия не снята;Убить лобстера, воткнув острое лезвие между туловищем и панцирем возле хвоста, чтобы разъединить спинной мозг. [Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003] [омонимия не снята]
 ― еонвалГ; еыртсо ;Главное ― ; острые ; ; ножи.;Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003;Анатолий Найман, Галина Наринская;1936;Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов;2003;нехудожественная, публицистика;эссе;дом и домашнее хозяйство;«Октябрь»;2003;журнал;омонимия не снята;Главное ― острые ножи. [Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003] [омонимия не снята]
 иьлука -оп он ,имиклем с; имыртсо ;с мелкими, но по- акульи ; острыми ; ; зубами.;Дарья Донцова. Микстура от косоглазия (2003);Дарья Донцова;1952;Микстура от косоглазия;2003;художественная;роман;_;;;книга;омонимия не снята;Лаврик гневно зашипел, открыв пасть с мелкими, но по- акульи острыми зубами. [Дарья Донцова. Микстура от косоглазия (2003)] [омонимия не снята]
 доп йещюацрем ,ынинагортс моксук или; мыртсо ;или куском строганины, мерцающей под ; острым ; ; ножом хозяйки, накрывающей на стол…;Егор Радов. Змеесос (2003);Егор Радов;1964;Змеесос;2003;художественная;роман;_;;;книга;омонимия не снята;Еще я хочу стать дочерью вождя или куском строганины, мерцающей под острым ножом хозяйки, накрывающей на стол… [Егор Радов. Змеесос (2003)] [омонимия не снята]
 йошьлоб асяоп аз-зи лищатыв ашиМ; йыртсо ;Миша вытащил из-за пояса большой ; острый ; ; нож и ловкими умелыми движениями;Егор Радов. Змеесос (2003);Егор Радов;1964;Змеесос;2003;художественная;роман;_;;;книга;омонимия не снята;Тогда Миша вытащил из-за пояса большой острый нож и ловкими умелыми движениями отрезал у Александра Ивановича голову. [Егор Радов. Змеесос (2003)] [омонимия не снята]
 латсод ротйерфе оготэ елсоП; йыртсо ;После этого ефрейтор достал ; острый ; ; нож и разрезал блузку толстой;Егор Радов. Змеесос (2003);Егор Радов;1964;Змеесос;2003;художественная;роман;_;;;книга;омонимия не снята;После этого ефрейтор достал острый нож и разрезал блузку толстой женщины. [Егор Радов. Змеесос (2003)] [омонимия не снята]
 ьтацдавд узарс ьсолипв йолис с; хыртсо ;с силой впилось сразу двадцать ; острых ; ; зубов.;Мария Семенова. Волкодав: Знамение пути (2003);Мария Семенова;1958;Волкодав: Знамение пути;2003;художественная;роман;_;;;книга;омонимия не снята;Его пальцы уже смыкались на растрёпанном лоскутке, когда через двор с леденящим кровь визгом метнулась летучая тень, и в мякоть ладони с силой впилось сразу двадцать острых зубов. [Мария Семенова. Волкодав: Знамение пути (2003)] [омонимия не снята]
 онйачыбоен ыб онволс ,отсич и; мыртсо ;и чисто, словно бы необычайно ; острым ; ; ножом, и рука, держащая её;Мария Семенова. Волкодав: Знамение пути (2003);Мария Семенова;1958;Волкодав: Знамение пути;2003;художественная;роман;_;;;книга;омонимия не снята;Верёвка всякий раз оказывалась срезанной ровно и чисто, словно бы необычайно острым ножом, и рука, держащая её наверху, не улавливала мгновения. [Мария Семенова. Волкодав: Знамение пути (2003)] [омонимия не снята]
 йошьлоб нежун енМ; йыртсо ;Мне нужен большой ; острый ; ; нож, каким разделывают мясо.;Надежда Трофимова. Третье желание // «Звезда», 2003;Надежда Трофимова;;Третье желание;2003;художественная;повесть;_;«Звезда»;2003;журнал;омонимия не снята;Мне нужен большой острый нож, каким разделывают мясо. [Надежда Трофимова. Третье желание // «Звезда», 2003] [омонимия не снята]
 еокнот и ,охусан жон ретыв; еортсо ;вытер нож насухо, и тонкое ; острое ; ; лезвие снова заблестело, хищно отражая;Надежда Трофимова. Третье желание // «Звезда», 2003;Надежда Трофимова;;Третье желание;2003;художественная;повесть;_;«Звезда»;2003;журнал;омонимия не снята;Я вытер нож насухо, и тонкое острое лезвие снова заблестело, хищно отражая лучи заходящего солнца. [Надежда Трофимова. Третье желание // «Звезда», 2003] [омонимия не снята]
 отдуб йыроток ,атнасед огоксечиткат икдасыв; мыртсо ;высадки тактического десанта, который будто ; острым ; ; ножом перерезал горную дорогу Итум-;Павел Евдокимов. Улус-Керт // «Спецназ России», 2003.03.15;Павел Евдокимов;;Улус-Керт;2003;нехудожественная, публицистика;статья;армия и вооруженные конфликты;«Спецназ России»;2003.03.15;газета;омонимия не снята;Произошло это после высадки тактического десанта, который будто острым ножом перерезал горную дорогу Итум- Кале- Шатили, построенную невольниками « свободной Ичкерии». [Павел Евдокимов. Улус-Керт // «Спецназ России», 2003.03.15] [омонимия не снята]
 ; огортсо ; ; острого ; ; ножа с хрустом вскрыл грудную;Юрий Буйда. Город палачей // «Знамя», 2003;Юрий Буйда;1954;Город палачей;2003;художественная;роман;_;«Знамя»;2003;журнал;омонимия не снята; острого ножа с хрустом вскрыл грудную клетку повешенного, вырвал рукой из его дымящейся разверстой груди сердце и показал ему, прежде чем тот навсегда сомкнул веки. [Юрий Буйда. Город палачей // «Знамя», 2003] [омонимия не снята]
 вогарв латавх ,мотсовх мывялтсок лялив; имыртсо ;вилял костлявым хвостом, хватал врагов ; острыми ; ; зубами и совершенно не требовал;Юрий Буйда. Город палачей // «Знамя», 2003;Юрий Буйда;1954;Город палачей;2003;художественная;роман;_;«Знамя»;2003;журнал;омонимия не снята;Перед отъездом в Москву на учебу старший сын Четверяго подарил матери скелет собаки, который бегал, вилял костлявым хвостом, хватал врагов острыми зубами и совершенно не требовал никакой пищи. [Юрий Буйда. Город палачей // «Знамя», 2003] [омонимия не снята]
 еыннесенан ,иинил еыньлатнеманро еынжомзовесв и; мыртсо ;и всевозможные орнаментальные линии, нанесенные ; острым ; ; ножом, параллельные и пересекающиеся в;Знаки весны // «Народное творчество», 2003.08.18;;;Знаки весны;2003;нехудожественная, публицистика;статья;религия;«Народное творчество»;2003.08.18;журнал;омонимия не снята;Для передачи оперения в таких фигурках птиц могли использовать и всевозможные орнаментальные линии, нанесенные острым ножом, параллельные и пересекающиеся в виде сетки. [Знаки весны // «Народное творчество», 2003.08.18] [омонимия не снята]
 тюатсарыв ,илмез доп-зи онволс ,еднамок; еыртсо ;команде, словно из-под земли, вырастают ; острые ; ; иглы, прокалывающие любую покрышку.;Оружие, которое не убивает // «Солдат удачи», 2003.12.03;;;Оружие, которое не убивает;2003;нехудожественная, публицистика;статья;техника;«Солдат удачи»;2003.12.03;журнал;омонимия не снята;Как только возникает необходимость остановить тот или иной автомобиль, по команде, словно из-под земли, вырастают острые иглы, прокалывающие любую покрышку. [Оружие, которое не убивает // «Солдат удачи», 2003.12.03] [омонимия не снята]
( арубодел кобирг ан оньлис; еыртсо ;сильно на грибок ледобура (; острые ; ; ножи довольно легко входят в;Особенности зимней любительской ловли // «Рыбак Приморья», 2003.01.30;;;Особенности зимней любительской ловли;2003;нехудожественная, публицистика;статья;производство;«Рыбак Приморья»;2003.01.30;газета;омонимия не снята;При сверлении лунки не нажимайте сильно на грибок ледобура (острые ножи довольно легко входят в лед), следя в то же время, чтобы штанга ледобура все время находилась в вертикальном положении. [Особенности зимней любительской ловли // «Рыбак Приморья», 2003.01.30] [омонимия не снята]
 и еынелез ,еикьнелам азалг ,имасолов; еыртсо ;волосами, глаза маленькие, зеленые и ; острые ;, ; зубы совсем черные и далеко;Алексей Варламов. Пришвин или Гений жизни // «Октябрь», 2002;Алексей Варламов;1963;Пришвин или Гений жизни;2002;нехудожественная, публицистика;биография;искусство и культура;«Октябрь»;2002;журнал;омонимия не снята;Весь он был лицом ровно- розовый, с торчащими в разные стороны рыжими волосами, глаза маленькие, зеленые и острые, зубы совсем черные и далеко брызгаются слюной, нога всегда заложена за ногу, и кончик нижней ноги дрожит, под ней дрожит кафедра, под кафедрой дрожит половица». [Алексей Варламов. Пришвин или Гений жизни // «Октябрь», 2002] [омонимия не снята]
 имыважр с швок йынморго в; имыртсо ;в огромный ковш с ржавыми ; острыми ; ; зубьями на вершине.;Алексей Демин. Четыре комнаты. В полуфиналах свободных мест нет // «Известия», 2002.03.20;Алексей Демин;;Четыре комнаты. В полуфиналах свободных мест нет;2002;нехудожественная, публицистика;статья;спорт;«Известия»;2002.03.20;газета;омонимия не снята;Ненадежные колеса он поменял на гусеницы, на место рулевого колеса поставил рычаг с функциями « вперед- назад», а изящный, но уязвимый передний бампер, подрихтовав кувалдой, преобразовал в огромный ковш с ржавыми острыми зубьями на вершине. [Алексей Демин. Четыре комнаты. В полуфиналах свободных мест нет // «Известия», 2002.03.20] [омонимия не снята]
 мотэ ирп яазердоп иксечидоиреп ,онвендеже; мыртсо ;ежедневно, периодически подрезая при этом ; острым ; ; ножом нижнюю часть стебля, который;Анатолий Савченко. Радость моя - тюльпаны // «Homes & Gardens», 2002.04.15;Анатолий Савченко;;Радость моя - тюльпаны;2002;нехудожественная, публицистика;статья;природа;«Homes & Gardens»;2002.04.15;журнал;омонимия не снята;Менять ее надо ежедневно, периодически подрезая при этом острым ножом нижнюю часть стебля, который все еще продолжает удлиняться в воде. [Анатолий Савченко. Радость моя - тюльпаны // «Homes & Gardens», 2002.04.15] [омонимия не снята]
 с ,еыньлис ьнечо ,вортем херт; имыртсо ;трех метров, очень сильные, с ; острыми ; ; зубами и с когтями наподобие;Анна Зыкова. Дракон. Добро или зло? // «Пятое измерение», 2002;Анна Зыкова;;Дракон. Добро или зло?;2002;нехудожественная, публицистика;статья;астрология, парапсихология, эзотерика;«Пятое измерение»;2002;газета;омонимия не снята;Они темно-бурого цвета, в длину около трех метров, очень сильные, с острыми зубами и с когтями наподобие орлиных. [Анна Зыкова. Дракон. Добро или зло? // «Пятое измерение», 2002] [омонимия не снята]
 ,мыннечурказ ,анижурп яагут как ,миовс; мыртсо ;своим, как тугая пружина, закрученным, ; острым ; ― ; лезвием, жалом! ;В. Д. Алейников. Тадзимас (2002);В. Д. Алейников;1946;Тадзимас;2002;художественная;мемуары;_;;;книга;омонимия не снята;невероятными приключениями, борениями с силами тьмы и со злом, со своим, как тугая пружина, закрученным, острым ― лезвием, жалом!  [В. Д. Алейников. Тадзимас (2002)] [омонимия не снята]
 ,мецнлос йотерган ,екнибжол в тидис; мыртсо ;сидит в ложбинке, нагретой солнцем, ; острым ; ; ножом выкапывая золотой корень.;Василий Голованов. Остров, или оправдание бессмысленных путешествий (2002);Василий Голованов;1960;Остров, или оправдание бессмысленных путешествий;2002;нехудожественная, публицистика;монография;путешествия;;;книга;омонимия не снята;На берегу, где река сходится с морем, он сидит в ложбинке, нагретой солнцем, острым ножом выкапывая золотой корень. [Василий Голованов. Остров, или оправдание бессмысленных путешествий (2002)] [омонимия не снята]
 микьнелам нидо а ,тажред оревтеЧ; мыртсо ;Четверо держат, а один маленьким ; острым ; ; ножом делает ему надрез в;Василий Голованов. Остров, или оправдание бессмысленных путешествий (2002);Василий Голованов;1960;Остров, или оправдание бессмысленных путешествий;2002;нехудожественная, публицистика;монография;путешествия;;;книга;омонимия не снята;Четверо держат, а один маленьким острым ножом делает ему надрез в паху, извлекает из мошонки два белых, абсолютно правильной эллипсовидной формы яичка, перекручивает их, чем-то еще перетягивает ― и одним махом отрезает. [Василий Голованов. Остров, или оправдание бессмысленных путешествий (2002)] [омонимия не снята]
 ,вортилиллим ьтацдавд ан цирпш ,яинавилобзебо; яартсо ;обезболивания, шприц на двадцать миллилитров, ; острая ; ; игла- троакар для прокола кожи,;Влада Валеева. Скорая помощь (2002);Влада Валеева;;Скорая помощь;2002;художественная;роман;_;;;книга;омонимия не снята;Через минуту готовый стерильный набор для катетеризации центральной вены лежал перед Каплевичем: раствор новокаина для местного обезболивания, шприц на двадцать миллилитров, острая игла- троакар для прокола кожи, длинная полая игла для поиска вены, катетер с проводником и заправленный иглодержатель, чтобы подшить катетер к коже. [Влада Валеева. Скорая помощь (2002)] [омонимия не снята]
 ясьтипецв ыботч ,огот ялд окьлот; имыртсо ;только для того, чтобы вцепиться ; острыми ; ; зубами в бутерброд с сыром;Екатерина Романова, Николай Романов. Дамы-козыри (2002);Екатерина Романова, Николай Романов;;Дамы-козыри;2002;художественная;роман;_;;;книга;омонимия не снята;Она отвлекалась от чтения и пометок в тетрадях только для того, чтобы вцепиться острыми зубами в бутерброд с сыром и отхватить от него приличных размеров кусок. [Екатерина Романова, Николай Романов. Дамы-козыри (2002)] [омонимия не снята]
 йыннилд и еще йобос с; йыртсо ;с собой еще и длинный ; острый ; ; нож- мачете, похожий на саблю,;Михаил Панин. Камикадзе // «Звезда», 2002;Михаил Панин;;Камикадзе;2002;художественная;роман;_;«Звезда»;2002;журнал;омонимия не снята;Кроме пистолета и бинокля я взял с собой еще и длинный острый нож- мачете, похожий на саблю, который был на спасательном плоту, чтобы отбиваться от акул. [Михаил Панин. Камикадзе // «Звезда», 2002] [омонимия не снята]
.конусир .мс ( еинаводзороб еончерепоП; мыртсО ;Поперечное бороздование ( см. рисунок.; Острым ; ; ножом прорезаем кору.;Николай Курдюмов. Велю я саду - цвесть! // «Homes & Gardens», 2002.04.15;Николай Курдюмов;;Велю я саду - цвесть!;2002;нехудожественная, публицистика;статья;природа;«Homes & Gardens»;2002.04.15;журнал;омонимия не снята;Поперечное бороздование ( см. рисунок. Острым ножом прорезаем кору. [Николай Курдюмов. Велю я саду - цвесть! // «Homes & Gardens», 2002.04.15] [омонимия не снята]
 тюазерзар отсорп ,оливарп как ,яинетсар; мыртсо ;растения, как правило, просто разрезают ; острым ; ; ножом, и корни при этом;Ольга Собинова. Как угомонить разросшиеся растения // «Homes & Gardens», 2002.07.09;Ольга Собинова;;Как угомонить разросшиеся растения;2002;нехудожественная, учебно-научная;статья;природа;«Homes & Gardens»;2002.07.09;журнал;омонимия не снята;В коммерческих питомниках растения, как правило, просто разрезают острым ножом, и корни при этом повреждаются. [Ольга Собинова. Как угомонить разросшиеся растения // «Homes & Gardens», 2002.07.09] [омонимия не снята]
 юьщомоп с и онжом яинетсар; огортсо ;растения можно и с помощью ; острого ; ; ножа, однако такая операция способна;Ольга Собинова. Как угомонить разросшиеся растения // «Homes & Gardens», 2002.07.09;Ольга Собинова;;Как угомонить разросшиеся растения;2002;нехудожественная, учебно-научная;статья;природа;«Homes & Gardens»;2002.07.09;журнал;омонимия не снята;2. Разделить растения можно и с помощью острого ножа, однако такая операция способна замедлить рост из-за повреждений корневой системы. [Ольга Собинова. Как угомонить разросшиеся растения // «Homes & Gardens», 2002.07.09] [омонимия не снята]
 ил от ,йовтирб ил от; мыртсо ;то ли бритвой, то ли ; острым ; ; ножом полоснул ему под подбородком,;Эд. Поляновский. Непотопляемый. Этот человек развалил наш футбол, развратил его // «Известия», 2002.07.08;Эд. Поляновский;;Непотопляемый. Этот человек развалил наш футбол, развратил его;2002;нехудожественная, публицистика;статья;политика и общественная жизнь;«Известия»;2002.07.08;газета;омонимия не снята;Славянин сзади чем-то тяжелым ударил журналиста по голове, а кавказец то ли бритвой, то ли острым ножом полоснул ему под подбородком, затем по щеке, через нос по другой щеке. [Эд. Поляновский. Непотопляемый. Этот человек развалил наш футбол, развратил его // «Известия», 2002.07.08] [омонимия не снята]
 ,итгон еыннилД; еыртсо ;Длинные ногти, ; острые ; ; зубы и кольца.;Да здравствует презерватив! // «100% здоровья», 2002.11.11;;;Да здравствует презерватив!;2002;нехудожественная, публицистика;статья;здоровье и медицина;«100% здоровья»;2002.11.11;журнал;омонимия не снята;Длинные ногти, острые зубы и кольца. [Да здравствует презерватив! // «100% здоровья», 2002.11.11] [омонимия не снята]
.ястедйан хесв ан вокчижоН; ЙЫРТСО ;Ножичков на всех найдется.; ОСТРЫЙ ; ; НОЖ И КРЕПКИЙ ТОПОР ПРИДАЮТ;Мужское хозяйство: Ножичков на всех найдется // «Автопилот», 2002.06.15;;;Мужское хозяйство: Ножичков на всех найдется;2002;нехудожественная, публицистика;заметка;дом и домашнее хозяйство;«Автопилот»;2002.06.15;журнал;омонимия не снята;Ножичков на всех найдется. ОСТРЫЙ НОЖ И КРЕПКИЙ ТОПОР ПРИДАЮТ УВЕРЕННОСТЬ В ЛЮБОЙ СИТУАЦИИ. [Мужское хозяйство: Ножичков на всех найдется // «Автопилот», 2002.06.15] [омонимия не снята]
 янем ан йыннелварпан юачертсв моляедо; йыртсо ;одеялом встречаю направленный на меня ; острый ; ; нож.;Эмма Герштейн. Лишняя любовь (1985-2002);Эмма Герштейн;1903;Лишняя любовь;1985-2002;нехудожественная, публицистика;мемуары;_;;;книга;омонимия не снята;А чувство было такое, будто после трудного дня я добралась наконец до теплой постели, укладываюсь, но под одеялом встречаю направленный на меня острый нож. [Эмма Герштейн. Лишняя любовь (1985-2002)] [омонимия не снята]
 и йаварак идург к лажирп; мыртсо ;прижал к груди каравай и ; острым ; ; ножом, ведя по хлебу от;Александр Проханов. Господин Гексоген (2001);Александр Проханов;1938;Господин Гексоген;2001;художественная;роман;_;;;книга;омонимия не снята;Уселся, прижал к груди каравай и острым ножом, ведя по хлебу от дальнего края к сердцу, стал кроить ржаную ковригу на ровные ломти, отдавая каждому долю. [Александр Проханов. Господин Гексоген (2001)] [омонимия не снята]
.утрак юуннеов ьтардозар ,илкониб кур; мыртсО ;рук бинокли, разодрать военную карту.; Острым ; ; ножом перерезать жгуты проводов.;Александр Проханов. Господин Гексоген (2001);Александр Проханов;1938;Господин Гексоген;2001;художественная;роман;_;;;книга;омонимия не снята;рук бинокли, разодрать военную карту. Острым ножом перерезать жгуты проводов. [Александр Проханов. Господин Гексоген (2001)] [омонимия не снята]
 тежерыв ,тиретсамс укжелет ,вокиселок ад; мыртсо ;да колесиков, тележку смастерит, вырежет ; острым ; ; ножом куклу, солдатика, игрушечное ружье.;Борис Екимов. Белая дорога (2001);Борис Екимов;1938;Белая дорога;2001;художественная;рассказ;_;;;книга;омонимия не снята;А между делом для ребячьей забавы Степа- глухой нарежет пахучих деревянных кубиков да колесиков, тележку смастерит, вырежет острым ножом куклу, солдатика, игрушечное ружье. [Борис Екимов. Белая дорога (2001)] [омонимия не снята]
 имылеб вункревс ,яслунзилбо йикснизиН; имыртсо ;Низинский облизнулся, сверкнув белыми ; острыми ; ; зубами, и замолк.;Елизавета Козырева. Дамская охота (2001);Елизавета Козырева;;Дамская охота;2001;художественная;роман;_;;;книга;омонимия не снята;Низинский облизнулся, сверкнув белыми острыми зубами, и замолк. [Елизавета Козырева. Дамская охота (2001)] [омонимия не снята]
 бо ьтыбаз оннелсымокгел ьсиляртиху акмерет; хыртсо ;теремка ухитрялись легкомысленно забыть об ; острых ; ; зубах, клацающих где-то во мраке.;Игорь Ефимов. Суд да дело // «Звезда», 2001;Игорь Ефимов;1937;Суд да дело;2001;художественная;роман;_;«Звезда»;2001;журнал;омонимия не снята;И обитатели теремка ухитрялись легкомысленно забыть об острых зубах, клацающих где-то во мраке. [Игорь Ефимов. Суд да дело // «Звезда», 2001] [омонимия не снята]
 хИ; еыртсо ;Их ; острые ; ; зубы вонзились в её плавники,;Олег Тихомиров. Китенок Финя // «Мурзилка», 2001;Олег Тихомиров;1934;Китенок Финя;2001;художественная;сказка;_;«Мурзилка»;2001;журнал;омонимия не снята;Их острые зубы вонзились в её плавники, хвост, горло… [Олег Тихомиров. Китенок Финя // «Мурзилка», 2001] [омонимия не снята]
 мотоп а ,итсодревт уме яинадирп; мыртсо ;придания ему твердости, а потом ; острым ; ; ножом резать из него детали;Андрей Макаревич. «Сам овца». Автобиографическая проза (2000-2001);Андрей Макаревич;1953;«Сам овца». Автобиографическая проза;2000-2001;нехудожественная, публицистика;мемуары;_;;;книга;омонимия не снята;Просто, чтобы пластилин стал для этого пригодным, его надо было подержать в холодильнике для придания ему твердости, а потом острым ножом резать из него детали будущего танка или самолета. [Андрей Макаревич. «Сам овца». Автобиографическая проза (2000-2001)] [омонимия не снята]
 как ,ьнед тотэ ьзовкс ядйорп; йыртсо ;пройдя сквозь этот день, как ; острый ; ; нож сквозь сыр.;Алан Черчесов. Венок на могилу ветра // «Знамя», 2000;Алан Черчесов;1962;Венок на могилу ветра;2000;художественная;роман;_;«Знамя»;2000;журнал;омонимия не снята;Поскольку смелость и отвага ― всего только способы себя покорять, он снова справился, пройдя сквозь этот день, как острый нож сквозь сыр. [Алан Черчесов. Венок на могилу ветра // «Знамя», 2000] [омонимия не снята]
 доп ьсалкесо анО; имыртсо ;Она осеклась под ; острыми ; ; иглами, которые, кажется, вылетели из;Алексей Рыбин. Последняя игра (2000);Алексей Рыбин;;Последняя игра;2000;художественная;роман;_;;;книга;омонимия не снята;Она осеклась под острыми иглами, которые, кажется, вылетели из его глаз. [Алексей Рыбин. Последняя игра (2000)] [омонимия не снята]
