Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 театичопдерп йогурд а ,ацреп зеб; еыртсо ;без перца, а другой предпочитает ; острые ; ; соусы и приправы грузинской кухни.;М. Черников. Север и юг: контрасты питания // «Химия и жизнь», 1969;М. Черников;;Север и юг: контрасты питания;1969;нехудожественная, публицистика;статья;здоровье и медицина, легкая и пищевая промышленность, производство;«Химия и жизнь»;1969;журнал;омонимия не снята;Одному нравится есть пищу пресную и без перца, а другой предпочитает острые соусы и приправы грузинской кухни. [М. Черников. Север и юг: контрасты питания // «Химия и жизнь», 1969] [омонимия не снята]
 ,аколом г 004 ,икум г; йыртсо ;г муки, 400 г молока, ; острый ; ; соус, немного готовой горчицы, соль,;Марьинский А., Разбегаев А. Приглашение к столу // «Химия и жизнь», 1968;Марьинский А., Разбегаев А;;Приглашение к столу;1968;нехудожественная, публицистика;статья;легкая и пищевая промышленность, производство;«Химия и жизнь»;1968;журнал;омонимия не снята;60 г макарон, 30 г масла, 30 г муки, 400 г молока, острый соус, немного готовой горчицы, соль, 100 г тертого сыра. [Марьинский А., Разбегаев А. Приглашение к столу // «Химия и жизнь», 1968] [омонимия не снята]
 икжол йонйач олоко тюялвабирп ,яинепик; огортсо ;кипения, прибавляют около чайной ложки ; острого ; ; соуса, немного готовой горчицы и;Марьинский А., Разбегаев А. Приглашение к столу // «Химия и жизнь», 1968;Марьинский А., Разбегаев А;;Приглашение к столу;1968;нехудожественная, публицистика;статья;легкая и пищевая промышленность, производство;«Химия и жизнь»;1968;журнал;омонимия не снята;Доведя до кипения, прибавляют около чайной ложки острого соуса, немного готовой горчицы и соли и кипятят 10 минут. [Марьинский А., Разбегаев А. Приглашение к столу // «Химия и жизнь», 1968] [омонимия не снята]
 ,ытопмок еывоткурф ( ывреснок »еынвиссерга; еыртсо ;агрессивные» консервы ( фруктовые компоты, ; острые ; ; соусы) наиболее стойкую жесть.;П. Гинер. Рыцари консервной банки // «Химия и жизнь», 1968;П. Гинер;;Рыцари консервной банки;1968;нехудожественная, публицистика;статья;наука и технологии, производство, химия;«Химия и жизнь»;1968;журнал;омонимия не снята;Сортировка жести по качеству покрытия позволяет направлять для изготовления банок под наиболее « агрессивные» консервы ( фруктовые компоты, острые соусы) наиболее стойкую жесть. [П. Гинер. Рыцари консервной банки // «Химия и жизнь», 1968] [омонимия не снята]
 еикснакискем ман тясонирп хаклерат хиксолп; еыртсо ;плоских тарелках приносят нам мексиканские ; острые ; ; блюда, мексиканский хлеб, напоминающий кавказский;Н. Н. Берберова. Курсив мой (1960-1966);Н. Н. Берберова;1901;Курсив мой;1960-1966;художественная;роман;искусство и культура;;;книга;омонимия не снята;На громадных плоских тарелках приносят нам мексиканские острые блюда, мексиканский хлеб, напоминающий кавказский лаваш, текилу в крошечных дымчатых стаканчиках, и я пишу вечером письмо в Париж о том, что до сего дня в Америке еще не встретила ни одного миллионера, ни одного гангстера, ни одного бейсболиста, ни одного саксофониста… и только двух голливудских актеров. [Н. Н. Берберова. Курсив мой (1960-1966)] [омонимия не снята]
« окьлот либюл фогнеираМ; еыртсо ;Мариенгоф любил только «; острые ; ; блюда» в стихах.;Рюрик Ивнев. О Сергее Есенине (1926-1964);Рюрик Ивнев;1891;О Сергее Есенине;1926-1964;нехудожественная, публицистика;мемуары;искусство и культура, частная жизнь;;;книга;омонимия не снята;Мариенгоф любил только «острые блюда» в стихах. [Рюрик Ивнев. О Сергее Есенине (1926-1964)] [омонимия не снята]
 иинешуквдерп В; огортсо ;В предвкушении ; острого ; ; блюда собрание так и подалось;Л. М. Леонов. Вор. Части 1-2 (1927-1959);Л. М. Леонов;1899;Вор. Части 1-2;1927-1959;художественная;роман;_;;;книга;омонимия не снята;В предвкушении острого блюда собрание так и подалось в сторону Вьюги, многие и про смородину забыли, а Бундюков даже привстал, увеличив площадь уха приложенной ладонью, чтобы попозже поделиться удовольствием со своею временно отсутствующею супругой. [Л. М. Леонов. Вор. Части 1-2 (1927-1959)] [омонимия не снята]
 еинелбертопу еотсач ,ищип йондолох ьнечо; хыртсо ;очень холодной пищи, частое употребление ; острых ; ; блюд и пряностей, хронические отравления;А. И. Серебров. Профилактика рака // «Наука и жизнь», 1953;А. И. Серебров;;Профилактика рака;1953;нехудожественная, учебно-научная;статья;здоровье и медицина;«Наука и жизнь»;1953;журнал;омонимия не снята;Развитию гастритов, например, способствуют расстройство жевательного аппарата ( гнилые зубы или отсутствие зубов), хронические воспалительные заболевания десен, слизистой оболочки рта, глотки, гортани и носа, торопливая еда, прием очень горячей или очень холодной пищи, частое употребление острых блюд и пряностей, хронические отравления недоброкачественными продуктами или ядами и т. д. [А. И. Серебров. Профилактика рака // «Наука и жизнь», 1953] [омонимия не снята]
 огонреч огоксйатик йоквилдоп с имянемьлеп; огортсо ;пельменями с подливкой китайского черного ; острого ; ; соуса, изготовляемого из соевых бобов.;В. А. Обручев. В дебрях Центральной Азии (1951);В. А. Обручев;1863;В дебрях Центральной Азии;1951;художественная;роман;_;;;книга;омонимия не снята;К ночи вернулись с пастбища наши мальчики с верблюдами, и после тревожного дня мы спокойно поужинали пельменями с подливкой китайского черного острого соуса, изготовляемого из соевых бобов. [В. А. Обручев. В дебрях Центральной Азии (1951)] [омонимия не снята]
 доп ажрапс ,циртсу одюлб ,ичид; мыртсо ;дичи, блюдо устриц, спаржа под ; острым ; ; соусом, редкие фрукты в серебряной;Роберт Штильмарк. Наследник из Калькутты (1950-1951);Роберт Штильмарк;1909;Наследник из Калькутты;1950-1951;художественная;роман;_;;;книга;омонимия не снята;Огромная рыба с устрашающей мордой, бутылки с сухими испанскими винами, паштет из дичи, блюдо устриц, спаржа под острым соусом, редкие фрукты в серебряной вазе, горьковатое миндальное печенье и сыр четырех сортов ― вся эта благодать несколько смягчила постное, должностное выражение лиц обоих чиновников. [Роберт Штильмарк. Наследник из Калькутты (1950-1951)] [омонимия не снята]
 и хынсукв о ьтировогоп и; хыртсо ;и поговорить о вкусных и ; острых ; ; блюдах ― селедочки с гарниром,;С. Вишенков. Испытатели (1947);С. Вишенков;1922;Испытатели;1947;художественная;повесть;_;;;книга;омонимия не снята;И выходило так, что летчики собирались за столом лишь для того, чтобы с сожалением вспомнить и поговорить о вкусных и острых блюдах ― селедочки с гарниром, салате « весна», паюсной икре или харчо, которое им приходилось есть дома. [С. Вишенков. Испытатели (1947)] [омонимия не снята]
 йищявотог ,равоп ― ыВ; еыртсо ;Вы ― повар, готовящий ; острые ; ; блюда, для нормального человеческого желудка;Ф. Ф. Раскольников. Открытое письмо Сталину (1939);Ф. Ф. Раскольников;1892;Открытое письмо Сталину;1939;нехудожественная, публицистика;открытое письмо;политика и общественная жизнь;;;книга;омонимия не снята;Вы ― повар, готовящий острые блюда, для нормального человеческого желудка они не съедобны. [Ф. Ф. Раскольников. Открытое письмо Сталину (1939)] [омонимия не снята]
 как ,илялварпирп ынищнеж еылижоП; мыртсо ;Пожилые женщины приправляли, как ; острым ; ; соусом, блекнущую красоту необычайностью туалетов.;А. Н. Толстой. Гиперболоид инженера Гарина (1925-1927-1937);А. Н. Толстой;1882;Гиперболоид инженера Гарина;1925-1927-1937;художественная;роман;_;;;книга;омонимия не снята;Пожилые женщины приправляли, как острым соусом, блекнущую красоту необычайностью туалетов. [А. Н. Толстой. Гиперболоид инженера Гарина (1925-1927-1937)] [омонимия не снята]
 еыннелварпирп адутто тядохыв оннемзиен ,хяокоп; мыртсо ;покоях, неизменно выходят оттуда приправленные ; острым ; ; соусом клеветы.;Г. В. Иванов. Книга о последнем царствовании (1933);Г. В. Иванов;1894;Книга о последнем царствовании;1933;художественная;роман;_;;;книга;омонимия не снята;Большинство придворных состоят членами знаменитого аристократического сборища, основанного еще при Николае I. Удивительно другое: дворцовые новости, касающиеся императрицы, побывав в комфортабельных клубных покоях, неизменно выходят оттуда приправленные острым соусом клеветы. [Г. В. Иванов. Книга о последнем царствовании (1933)] [омонимия не снята]
 окьлот ьтивотог тедуб равоп йеС; еыртсо ;Сей повар будет готовить только ; острые ; ; блюда», ― говорил он о;Л. Д. Троцкий. Моя жизнь (1929-1933);Л. Д. Троцкий;1879;Моя жизнь;1929-1933;нехудожественная, публицистика;мемуары;_;;;книга;омонимия не снята;И тем не менее Ленин опасался: « Сей повар будет готовить только острые блюда», ― говорил он о Сталине. [Л. Д. Троцкий. Моя жизнь (1929-1933)] [омонимия не снята]
 мытавотлеж еотилаз ,от-отч еонсукв ле; мыртсо ;ел вкусное что-то, залитое желтоватым ; острым ; ; соусом.;Б. А. Лавренев. Ветер (1924);Б. А. Лавренев;1891;Ветер;1924;художественная;повесть;_;;;книга;омонимия не снята;В промежутках разговора выпивал наливаемую полковником водку и с аппетитом ел вкусное что-то, залитое желтоватым острым соусом. [Б. А. Лавренев. Ветер (1924)] [омонимия не снята]
 микат доп ацйя еыннаворишраф ,екдоровокс; мыртсо ;сковородке, фаршированные яйца под таким ; острым ; ; соусом, какого ты, Егоза Вертихвостовна, от;А. Н. Будищев. Алая зыбь // журнал «Пробуждение» No 5, 1916 г, 1916;А. Н. Будищев;1867;Алая зыбь;1916;художественная;рассказ;_;журнал «Пробуждение» No 5, 1916 г;1916;журнал;омонимия не снята;Будет селянка на сковородке, фаршированные яйца под таким острым соусом, какого ты, Егоза Вертихвостовна, от роду не ела, и земляника со сливками!  [А. Н. Будищев. Алая зыбь // журнал «Пробуждение» No 5, 1916 г, 1916] [омонимия не снята]
 доп йоннесендоперп и хынтроп хиксзуцнарф; мыртсо ;французских портных и преподнесенной под ; острым ; ; соусом нашим модницам.;Наши моды (1915.04.11) // «Раннее утро», 1915;;;Наши моды;1915.04.11;нехудожественная, публицистика;статья;производство, частная жизнь;«Раннее утро»;1915;газета;омонимия не снята;А под вящей французской элегантностью скрывался тип русской нашей одежды, перекроенной и переделанной руками французских портных и преподнесенной под острым соусом нашим модницам. [Наши моды (1915.04.11) // «Раннее утро», 1915] [омонимия не снята]
 мот в еивтсйед еовс ьтавижуранбо; мортсо ;обнаруживать свое действие в том ; остром ; ; соусе, которым обливаются подобные компиляции,;М. Е. Салтыков-Щедрин. Рецензии (1863-1864);М. Е. Салтыков-Щедрин;1826;Рецензии;1863-1864;нехудожественная, публицистика;рецензия;политика и общественная жизнь;;;книга;омонимия не снята;Яд этот должен преимущественно обнаруживать свое действие в том остром соусе, которым обливаются подобные компиляции, в той ехидной преднамеренности, которая высказывается в подборке и сортировке чужих ядов. [М. Е. Салтыков-Щедрин. Рецензии (1863-1864)] [омонимия не снята]
